state,constituency,candidate_name,party,num_votes,total_votes,perc_votes,rank,won
Andhra Pradesh,Mummidivaram,RAJ KUMAR BEERA,Independent,654,192043,0.0034,7,0
Andhra Pradesh,Mummidivaram,CHEEKURUMELLI RAVIKUMAR,Independent,483,192043,0.0025,8,0
Andhra Pradesh,Mummidivaram,RAYUDU SRI RAMA CHANDRA MURTHY,Independent,443,192043,0.0023,9,0
Andhra Pradesh,Mummidivaram,MANIKANTA SWAMY KANDREGULA,India Praja Bandhu Party,377,192043,0.002,10,0
Andhra Pradesh,Mummidivaram,PANTHAGADA VIJAYA CHAKRAVARTHY,Republican Party of India (Khobragade),272,192043,0.0014,11,0
Andhra Pradesh,Mummidivaram,AADIMULAM VENKATESWARA RAO,Pyramid Party of India,196,192043,0.001,12,0
Andhra Pradesh,Amalapuram,VISWARUPU PINIPE,Yuvajana Sramika Rythu Congress Party,72003,169382,0.4251,1,1
Andhra Pradesh,Amalapuram,AITHABATHULA ANANDARAO,Telugu Desam,46349,169382,0.2736,2,0
Andhra Pradesh,Amalapuram,SETTIBATHULA RAJABABU,Janasena Party,45200,169382,0.2669,3,0
Andhra Pradesh,Amalapuram,NOTA,None of the Above,2006,169382,0.0118,4,0
Andhra Pradesh,Amalapuram,AITHABATHULA SUBHASHINI,Indian National Congress,1438,169382,0.0085,5,0
Andhra Pradesh,Amalapuram,PEYYALA SYAMPRASAD,Bharatiya Janata Party,1172,169382,0.0069,6,0
Andhra Pradesh,Amalapuram,POTHUMUDI RAVIKUMAR,Independent,364,169382,0.0021,7,0
Andhra Pradesh,Amalapuram,KASI CHANDRAMOULI,Independent,341,169382,0.002,8,0
Andhra Pradesh,Amalapuram,BONTHU VENKATA RAMANA,Viduthalai Chiruthaigal Katchi,309,169382,0.0018,9,0
Andhra Pradesh,Amalapuram,YADALA DURGALAKSHMI,Pyramid Party of India,200,169382,0.0012,10,0
Andhra Pradesh,Razole,RAPAKA VARA PRASADA RAO,Janasena Party,50053,149605,0.3346,1,1
Andhra Pradesh,Razole,RAJESWARA RAO BONTHU,Yuvajana Sramika Rythu Congress Party,49239,149605,0.3291,2,0
Andhra Pradesh,Razole,GOLLAPALLI SURYA RAO,Telugu Desam,45592,149605,0.3047,3,0
